price,boillinger_top,boillinger_bottom,klinger,rsi
0.017475,0.017634,0.017418,2.0,45.16
0.017463,0.017633,0.017415,-1.0,42.41
0.017526,0.017632,0.017415,12.0,57.16
0.017551,0.017632,0.017415,18.0,61.39
0.017542,0.017631,0.017415,9.0,58.96
0.017537,0.017629,0.017415,5.0,57.59
0.017544,0.017627,0.017416,7.0,59.02
0.017537,0.017626,0.017416,2.0,56.96
0.017568,0.017627,0.017416,14.0,63.11
0.017562,0.017626,0.017416,3.0,61.29
0.017571,0.017627,0.017416,17.0,63.02
0.017578,0.017629,0.017415,22.0,64.35
0.017598,0.017632,0.017414,23.0,67.91
0.017605,0.017635,0.017413,45.0,69.08
0.017633,0.017640,0.017410,40.0,73.26
0.017645,0.017645,0.017408,35.0,74.83
0.017648,0.017649,0.017405,33.0,75.22
0.017790,0.017676,0.017387,46.0,86.18
0.017888,0.017716,0.017360,66.0,89.60
0.017915,0.017755,0.017336,67.0,90.31
0.017927,0.017791,0.017315,71.0,90.62
0.017994,0.017832,0.017291,60.0,92.12
0.018081,0.017883,0.017261,82.0,93.56
0.018043,0.017922,0.017241,71.0,86.15
0.017962,0.017947,0.017231,23.0,72.89
0.018019,0.017978,0.017218,16.0,75.72
0.018005,0.018005,0.017208,13.0,73.69
0.018033,0.018033,0.017199,7.0,75.13
0.018014,0.018058,0.017192,-18.0,72.24
0.018007,0.018081,0.017188,-34.0,71.15
0.017990,0.018121,0.017185,-57.0,68.36
0.017949,0.018134,0.017193,-63.0,61.83
0.017953,0.018146,0.017203,-78.0,62.21
0.017917,0.018155,0.017213,-97.0,56.74
0.017903,0.018163,0.017223,-94.0,54.73
0.017873,0.018169,0.017234,-87.0,50.59
0.017884,0.018174,0.017247,-69.0,52.02
0.017908,0.018180,0.017259,-56.0,55.08
0.017916,0.018186,0.017271,-40.0,56.09
0.017947,0.018194,0.017282,-12.0,59.84
0.017928,0.018199,0.017295,-16.0,56.65
0.017918,0.018203,0.017309,-21.0,54.98
0.017901,0.018206,0.017323,-27.0,52.17
0.017910,0.018208,0.017338,-21.0,53.53
0.017892,0.018208,0.017355,-23.0,50.45
0.017930,0.018209,0.017372,-12.0,56.17
0.017893,0.018209,0.017387,-21.0,50.11
0.017882,0.018207,0.017405,-23.0,48.43
0.017875,0.018203,0.017425,-24.0,47.35
0.017917,0.018199,0.017448,-15.0,54.00
0.017952,0.018198,0.017465,-9.0,58.69
0.017964,0.018199,0.017481,-7.0,60.19
0.017930,0.018196,0.017499,-11.0,54.19
0.017949,0.018193,0.017518,-5.0,56.78
0.017936,0.018188,0.017539,-9.0,54.51
0.017934,0.018182,0.017561,-11.0,54.15
0.017933,0.018174,0.017585,-14.0,53.96
0.017941,0.018167,0.017607,-1.0,55.32
0.017991,0.018159,0.017632,14.0,62.73
0.017994,0.018151,0.017657,22.0,63.13
0.017990,0.018140,0.017684,8.0,62.18
0.017983,0.018128,0.017712,-4.0,60.47
0.017980,0.018114,0.017741,-7.0,59.71
0.017985,0.018099,0.017770,-7.0,60.60
0.017986,0.018082,0.017801,-3.0,60.78
0.017984,0.018058,0.017838,-4.0,60.17
0.017986,0.018052,0.017852,-1.0,60.60
0.017963,0.018051,0.017855,-3.0,53.50
0.017956,0.018052,0.017857,-6.0,51.53
0.017974,0.018052,0.017858,-1.0,56.03
0.017955,0.018051,0.017858,-2.0,50.68
0.017922,0.018040,0.017862,-2.0,43.00
0.017928,0.018034,0.017864,-5.0,44.64
0.017933,0.018033,0.017863,-1.0,46.04
0.017929,0.018029,0.017864,2.0,45.06
0.017954,0.018020,0.017867,14.0,52.39
0.017953,0.018016,0.017869,14.0,52.09
0.017955,0.018012,0.017870,11.0,52.68
0.017946,0.018009,0.017871,8.0,49.74
0.017949,0.018007,0.017872,6.0,50.73
0.017940,0.018006,0.017872,2.0,47.71
0.017932,0.018006,0.017871,0.0,45.14
0.017942,0.018006,0.017872,2.0,48.85
0.017936,0.018006,0.017874,7.0,46.80
0.017939,0.018004,0.017878,5.0,47.98
0.017943,0.018003,0.017882,7.0,49.57
0.017952,0.018003,0.017883,7.0,53.07
0.017959,0.018003,0.017885,9.0,55.64
0.017966,0.018004,0.017885,8.0,58.11
0.017951,0.018004,0.017885,1.0,51.49
0.017937,0.018004,0.017886,-1.0,46.20
0.017925,0.018004,0.017888,-2.0,42.19
0.017929,0.018003,0.017889,-4.0,43.94
0.017925,0.018002,0.017892,-5.0,42.45
0.017910,0.018001,0.017893,-6.0,37.35
0.017913,0.017999,0.017896,-8.0,38.93
0.017917,0.017996,0.017901,-3.0,41.07
0.017909,0.017996,0.017900,-4.0,38.19
0.017920,0.017996,0.017897,0.0,44.40
0.017919,0.017996,0.017896,-2.0,43.97
0.017941,0.017996,0.017896,4.0,54.47
0.017939,0.017996,0.017896,6.0,53.49
0.017936,0.017996,0.017896,10.0,51.97
0.017930,0.017996,0.017896,0.0,48.99
0.017916,0.017997,0.017895,-2.0,42.81
0.017911,0.017994,0.017894,-2.0,40.83
0.017910,0.017991,0.017894,-1.0,40.43
0.017920,0.017988,0.017894,2.0,46.15
0.017929,0.017985,0.017895,6.0,50.74
0.017933,0.017983,0.017895,9.0,52.66
0.017932,0.017980,0.017896,15.0,52.11
0.017931,0.017976,0.017898,15.0,51.54
0.017933,0.017972,0.017899,10.0,52.67
0.017930,0.017968,0.017901,6.0,50.75
0.017928,0.017966,0.017902,2.0,49.46
