Price,SAR,Klinger1,Klinger2
0.017306,0.017363,20.0,-4.0
0.017304,0.01736,17.0,-1.0
0.017305,0.017358,23.0,2.0
0.017292,0.017356,17.0,4.0
0.0173,0.017354,33.0,9.0
0.017295,0.017352,28.0,11.0
0.017272,0.01735,13.0,12.0
0.017277,0.017348,6.0,11.0
0.017267,0.017346,5.0,10.0
0.017278,0.017344,17.0,11.0
0.017263,0.017342,13.0,11.0
0.017278,0.01734,17.0,12.0
0.017266,0.017334,-10.0,9.0
0.017292,0.017329,6.0,9.0
0.017343,0.017221,28.0,12.0
0.017338,0.017226,35.0,15.0
0.017353,0.017235,56.0,21.0
0.017371,0.017246,61.0,27.0
0.017399,0.017264,123.0,41.0
0.017423,0.017285,185.0,61.0
0.017422,0.017304,156.0,75.0
0.01743,0.017321,153.0,86.0
0.01746,0.017342,154.0,96.0
0.017459,0.017363,151.0,104.0
0.017463,0.017402,145.0,114.0
0.017485,0.017423,146.0,119.0
0.017503,0.017447,152.0,124.0
0.01752,0.017466,146.0,127.0
0.017527,0.017481,140.0,129.0
0.017524,0.017493,121.0,128.0
0.01755,0.017506,121.0,127.0
0.017563,0.017521,123.0,126.0
0.017591,0.017545,96.0,119.0
0.017595,0.017557,93.0,115.0
0.017608,0.017576,76.0,105.0
0.017615,0.017584,72.0,100.0
0.017635,0.017598,84.0,98.0
0.017655,0.017602,83.0,96.0
0.017599,0.0177,45.0,88.0
0.01758,0.017695,25.0,79.0
0.017574,0.017687,11.0,69.0
0.017585,0.017678,14.0,61.0
0.017608,0.017669,14.0,54.0
0.017607,0.017661,18.0,49.0
0.017615,0.017653,6.0,43.0
0.017627,0.01764,11.0,34.0
0.017643,0.017566,11.0,31.0
0.017637,0.017568,11.0,28.0
0.017625,0.017569,-1.0,24.0
0.017644,0.017571,1.0,21.0
0.017655,0.017575,8.0,19.0
0.01767,0.017582,13.0,18.0
0.017694,0.017592,23.0,19.0
0.017707,0.017607,41.0,22.0
0.017728,0.017638,79.0,35.0
0.017713,0.017652,15.0,32.0
0.017719,0.017667,54.0,36.0
0.017682,0.01768,15.0,33.0
0.017667,0.01776,-3.0,28.0
0.017634,0.017609,-91.0,11.0
0.017613,0.01777,-120.0,-8.0
0.017609,0.017762,-157.0,-29.0
0.017655,0.017755,-133.0,-44.0
0.017624,0.017748,-137.0,-57.0
0.017622,0.017741,-140.0,-69.0
0.017594,0.017735,-142.0,-80.0
0.017513,0.017703,-160.0,-99.0
0.01754,0.017684,-139.0,-105.0
0.017543,0.017667,-112.0,-106.0
0.017558,0.017651,-96.0,-104.0
0.017543,0.017637,-73.0,-100.0
0.017552,0.017623,-60.0,-94.0
0.017579,0.017611,-44.0,-87.0
0.0176,0.017602,-33.0,-79.0
0.017633,0.017469,-21.0,-71.0
0.017584,0.017476,-29.0,-65.0
0.017608,0.017483,-31.0,-60.0
0.017587,0.01749,-35.0,-56.0
0.017588,0.017496,-41.0,-54.0
0.017604,0.017502,-28.0,-50.0
0.017597,0.017508,-16.0,-46.0
0.017613,0.017514,-5.0,-40.0
0.017606,0.017525,-11.0,-31.0
0.017598,0.01753,-19.0,-29.0
0.017589,0.017539,-44.0,-33.0
0.017599,0.017544,-34.0,-33.0
0.017635,0.01755,-11.0,-30.0
0.017637,0.017557,0.0,-25.0
0.01764,0.017563,4.0,-21.0
0.01766,0.01758,18.0,-12.0
0.017655,0.01759,10.0,-9.0
0.017635,0.017598,3.0,-7.0
0.017641,0.017605,-5.0,-7.0
0.017661,0.017612,7.0,-5.0
