price,sar,volume,volume_ema,klinger1,klinger2,rsi,signal
0.017553,0.017648,223,341,20,46,48.27,1
0.017556,0.017646,215,319,12,41,49.18,1
0.017519,0.017634,201,314,-10,28,39.40,1
0.017565,0.017628,617,334,2,24,52.18,1
0.017579,0.017622,190,327,4,21,55.27,1
0.017588,0.017617,124,324,4,19,57.19,1
0.017577,0.017612,368,334,-7,15,54.13,1
0.017575,0.017607,183,323,-12,11,53.57,1
0.017599,0.017605,222,302,-8,8,59.05,1
0.017606,0.017488,116,270,-7,6,60.51,1
0.017586,0.017490,148,261,-12,4,54.52,1
0.017601,0.017496,153,262,-9,2,57.89,1
0.017606,0.017501,77,240,-9,0,58.98,1
0.017622,0.017508,167,231,-7,-1,62.34,1
0.017585,0.017518,229,234,-13,-2,51.78,1
0.017621,0.017526,164,233,-10,-4,59.05,1
0.017653,0.017541,518,246,-0,-3,64.21,1
0.017704,0.017564,841,275,16,-0,70.58,1
0.017742,0.017607,370,301,7,1,71.45,1
0.017746,0.017635,1.432,362,35,6,71.82,1
0.017687,0.017677,192,351,14,9,59.34,1
0.017701,0.017683,491,345,21,11,61.15,1
0.017735,0.017697,341,352,24,12,65.20,1
0.017691,0.017779,1.101,401,-4,10,56.93,1
0.017704,0.017777,171,391,-2,8,58.60,1
0.017734,0.017775,229,393,1,7,62.24,1
0.017752,0.017773,293,397,5,7,64.27,1
0.017746,0.017771,228,402,-3,6,63.05,1
0.017744,0.017769,131,402,-2,4,62.63,1
0.017741,0.017767,183,403,-8,3,61.95,1
0.017760,0.017670,872,443,9,4,64.56,1
0.017754,0.017672,193,444,2,3,63.09,1
0.017774,0.017675,350,450,7,4,65.88,1
0.017799,0.017681,685,476,19,6,69.03,1
0.017788,0.017686,754,488,-1,5,66.14,1
0.017804,0.017692,706,481,12,6,68.23,1
0.017775,0.017697,547,482,-3,5,60.90,0
0.017770,0.017703,256,476,-11,2,59.71,1
0.017752,0.017707,769,443,-29,-2,55.50,0
0.017753,0.017712,168,433,-32,-6,55.69,1
0.017760,0.017717,322,439,-24,-9,57.05,1
0.017699,0.017826,1.159,473,-49,-15,44.29,0
0.017709,0.017823,225,467,-51,-20,46.41,1
0.017696,0.017818,564,440,-61,-26,44.07,1
0.017691,0.017799,288,460,-57,-35,44.59,1
0.017693,0.017790,213,456,-49,-37,45.02,1
0.017700,0.017774,497,489,-22,-35,47.08,1
0.017720,0.017767,794,519,-4,-30,51.24,1
0.017715,0.017760,394,495,3,-26,50.06,1
0.017725,0.017754,156,494,5,-21,52.41,1
0.017711,0.017748,176,485,-1,-18,48.94,1
0.017700,0.017737,114,432,-11,-16,43.19,1
0.017707,0.017732,270,410,-5,-14,48.80,1
0.017697,0.017723,116,381,-7,-12,46.28,1
0.017715,0.017719,210,353,-3,-11,51.18,1
0.017720,0.017655,173,353,-0,-9,52.47,1
0.017784,0.017667,1.049,346,25,-3,65.84,1
0.017765,0.017676,325,351,15,-0,60.37,1
0.017769,0.017684,193,332,16,2,61.10,1
0.017749,0.017692,343,324,6,3,55.57,1
0.017733,0.017699,157,318,1,2,51.55,1
0.017741,0.017705,112,313,2,2,53.37,1
0.017753,0.017718,291,283,3,2,56.22,1
0.017757,0.017723,288,258,7,3,57.16,1
0.017744,0.017729,186,247,1,2,53.16,1
0.017749,0.017811,268,253,-6,1,54.48,1
0.017748,0.017808,75,239,-8,-1,54.04,1
0.017747,0.017806,135,240,-6,-2,53.68,1
0.017738,0.017803,491,250,-16,-4,50.03,1
0.017747,0.017801,199,254,-12,-5,53.01,1
0.017741,0.017794,328,286,-19,-10,50.97,1
0.017719,0.017791,370,290,-26,-12,44.28,1
0.017703,0.017786,199,248,-29,-15,40.16,1
0.017714,0.017776,181,235,-28,-18,44.34,1
0.017707,0.017771,224,229,-31,-20,42.48,1
0.017716,0.017765,380,240,-38,-22,45.64,1
0.017730,0.017760,131,241,-32,-24,50.23,1
0.017737,0.017755,220,246,-25,-24,52.39,1
0.017736,0.017751,401,251,-32,-25,52.05,1
0.017754,0.017699,133,244,-27,-25,57.52,1
0.017750,0.017702,256,247,-20,-25,55.99,1
0.017779,0.017707,440,256,-9,-22,63.55,1
0.017765,0.017711,154,259,-12,-21,58.34,1
0.017762,0.017720,184,268,-11,-19,56.95,1
0.017756,0.017724,117,270,-13,-18,54.66,1
0.017770,0.017727,216,256,-8,-17,58.82,1
0.017763,0.017731,158,254,-4,-15,56.05,1
0.017760,0.017734,161,227,-7,-14,54.86,1
0.017741,0.017785,185,216,-16,-14,47.68,1
0.017744,0.017784,445,228,-6,-13,48.86,1
0.017740,0.017783,229,235,-10,-12,47.33,1
0.017731,0.017780,462,249,-19,-13,43.98,1
0.017742,0.017778,143,245,-15,-14,48.75,1
0.017746,0.017771,169,244,-5,-11,50.66,1
0.017737,0.017769,286,238,1,-9,46.47,1
0.017733,0.017767,194,241,-3,-9,44.69,1
0.017742,0.017765,347,246,4,-7,49.37,1
0.017728,0.017763,257,237,-2,-6,43.25,1
0.017747,0.017760,468,252,-8,-5,45.96,1
0.017690,0.017754,1.339,309,-36,-10,34.09,1
0.017673,0.017747,519,329,-44,-15,30.64,1
0.017679,0.017739,563,347,-52,-20,33.21,1
0.017684,0.017731,450,361,-38,-23,35.36,1
0.017686,0.017724,239,365,-39,-25,36.24,1
0.017665,0.017715,261,364,-41,-27,31.39,1
0.017671,0.017707,343,372,-44,-30,34.11,1
0.017677,0.017690,258,366,-36,-33,37.00,1
0.017665,0.017682,328,366,-30,-31,34.00,1
0.017686,0.017642,280,363,-20,-30,43.54,1
0.017678,0.017644,278,367,-12,-27,41.10,1
0.017672,0.017648,190,378,-21,-25,39.19,1
0.017650,0.017696,371,386,-30,-26,32.87,1
0.017672,0.017694,202,385,-14,-24,43.36,1
0.017690,0.017693,134,368,-9,-22,50.44,1
0.017713,0.017644,232,313,-2,-19,57.71,1
0.017710,0.017647,274,301,5,-16,56.55,1
0.017709,0.017650,195,282,1,-13,56.14,1
0.017727,0.017662,273,273,13,-7,61.14,1
0.017720,0.017669,437,282,23,-3,58.03,1
0.017690,0.017683,224,272,12,2,46.48,1
0.017667,0.017740,232,271,6,2,39.81,1
0.017677,0.017736,151,261,9,5,42.45,1
0.017671,0.017731,161,255,6,5,41.85,1
0.017679,0.017727,122,247,9,5,45.16,1
0.017690,0.017720,412,243,21,8,49.32,1
0.017676,0.017717,255,239,14,9,44.62,1
0.017689,0.017714,368,239,22,11,49.44,1
0.017669,0.017705,228,251,6,10,46.48,1
0.017678,0.017705,228,251,6,10,46.48,1
0.017676,0.017700,215,255,10,10,45.85,1
0.017695,0.017660,170,252,14,11,52.46,1
0.017678,0.017662,447,265,-3,8,46.89,1
0.017660,0.017701,250,266,-7,6,41.53,1
0.017666,0.017699,668,286,-20,2,43.83,1
0.017665,0.017696,227,276,-23,-1,43.53,1
0.017627,0.017685,277,279,-28,-8,33.53,1
0.017616,0.017664,623,328,-51,-18,34.96,1
0.017617,0.017653,322,337,-39,-21,35.35,1
0.017562,0.017636,1.43,400,-65,-28,26.15,1
0.017583,0.017621,574,423,-45,-30,33.29,1
0.017579,0.017608,346,432,-47,-33,32.64,1
0.017593,0.017532,293,464,-23,-30,38.68,1
0.017570,0.017534,548,473,-31,-30,34.75,1
0.017595,0.017536,368,469,-19,-28,41.68,1
0.017555,0.017538,317,474,-22,-27,35.23,1
0.017580,0.017628,1.029,514,-41,-29,41.34,1
0.017593,0.017626,413,527,-26,-29,44.28,1
0.017611,0.017624,784,551,-5,-25,48.16,1
0.017602,0.017622,232,541,-8,-23,46.42,1
0.017623,0.017512,301,526,9,-15,51.00,1
0.017614,0.017517,171,523,14,-11,48.98,1
0.017622,0.017521,211,521,10,-8,50.84,1
0.017621,0.017528,327,524,18,-4,50.59,1
0.017623,0.017534,219,492,23,-1,51.11,1
0.017624,0.017540,280,475,28,4,51.38,1
0.017629,0.017546,246,471,33,8,52.80,1
0.017657,0.017555,321,416,38,12,59.87,1
0.017655,0.017566,211,398,41,16,59.18,1
0.017659,0.017576,121,386,41,20,60.16,1
0.017646,0.017584,67,339,37,22,55.51,1
0.017637,0.017592,191,334,31,23,52.49,1
0.017628,0.017599,162,314,26,24,49.58,1
0.017639,0.017606,126,302,27,24,53.01,1
