price,ema,volume,volume_ema,klinger,rsi,signal
0.017314,0.017353,498,466,-13.0,37.76,1
0.017302,0.017348,381,457,-1.0,35.57,1
0.017307,0.017344,2839.0,584,-51.0,37.20,1
0.017310,0.017338,220,596,-21.0,38.24,1
0.017327,0.017337,1108.0,619,7.0,44.15,1
0.017317,0.017335,170,617,12.0,41.63,1
0.017305,0.017332,221,587,9.0,38.77,1
0.017297,0.017329,6265.0,879,-105.0,36.94,1
0.017300,0.017326,2429.0,987,-33.0,38.12,1
0.017310,0.017322,4712.0,1410,-6.0,42.28,1
0.017301,0.017320,303,1378,-3.0,39.69,1
0.017304,0.017319,302,1376,0.0,40.99,1
0.017305,0.017317,409,1383,16.0,41.44,1
0.017311,0.017317,425,1389,28.0,44.20,1
0.017313,0.017316,301,1393,23.0,45.13,1
0.017302,0.017315,355,1398,32.0,41.08,1
0.017312,0.017315,313,1419,34.0,46.20,1
0.017320,0.017316,652,1427,45.0,49.40,1
0.017311,0.017315,342,1425,34.0,46.08,1
0.017322,0.017316,479,1307,39.0,50.46,1
0.017309,0.017315,173,1286,32.0,45.73,1
0.017303,0.017314,149,1282,27.0,43.69,1
0.017305,0.017313,154,1234,21.0,44.58,1
0.017306,0.017313,247,1238,24.0,45.04,1
0.017304,0.017312,181,1236,18.0,44.24,1
0.017305,0.017311,190,932,21.0,44.77,1
0.017292,0.017309,300,826,13.0,39.53,1
0.017300,0.017308,707,565,24.0,43.88,1
0.017295,0.017307,236,341,17.0,41.85,1
0.017272,0.017304,710,362,1.0,34.05,1
0.017277,0.017301,393,366,-5.0,36.81,1
0.017267,0.017298,152,353,-5.0,33.77,1
0.017278,0.017296,471,356,6.0,39.67,1
0.017263,0.017293,264,354,2.0,35.08,1
0.017278,0.017292,127,343,5.0,42.28,1
0.017266,0.017289,212,323,1.0,38.59,1
0.017269,0.017287,1155.0,365,-19.0,40.00,1
0.017292,0.017288,583,361,-3.0,49.55,1
0.017289,0.017288,365,362,6.0,48.47,1
0.017343,0.017293,511,364,16.0,63.81,2
0.017338,0.017297,324,372,20.0,61.97,1
0.017353,0.017303,1024.0,415,35.0,65.21,2
0.017371,0.017309,357,425,34.0,68.66,2
0.017399,0.017318,3091.0,568,82.0,73.13,1
0.017423,0.017328,3284.0,723,124.0,76.25,1
0.017422,0.017337,615,744,81.0,75.86,1
0.017430,0.017346,456,752,67.0,76.89,1
0.017460,0.017356,650,749,58.0,80.30,1
0.017459,0.017366,517,763,47.0,79.87,1
0.017463,0.017375,287,742,35.0,80.32,1
0.017495,0.017387,649,755,31.0,83.47,1
0.017503,0.017406,899,804,28.0,81.08,1
0.017520,0.017417,397,810,19.0,82.67,1
0.017527,0.017428,432,825,11.0,83.29,1
0.017524,0.017437,232,826,-7.0,81.93,1
0.017550,0.017448,611,799,-6.0,84.32,1
0.017563,0.017459,681,804,-3.0,85.36,1
0.017591,0.017480,405,806,-23.0,87.45,1
0.017595,0.017491,381,809,-22.0,87.72,1
0.017583,0.017510,384,767,-29.0,84.32,1
0.017615,0.017520,276,627,-28.0,84.89,1
0.017635,0.017531,1024.0,514,-14.0,86.43,1
0.017655,0.017543,469,506,-13.0,87.77,1
0.017676,0.017556,837,525,-5.0,89.00,1
0.017599,0.017560,1541.0,570,-43.0,63.71,0
0.017580,0.017562,531,571,-54.0,59.24,0
0.017574,0.017563,353,574,-58.0,57.86,1
0.017585,0.017565,348,559,-47.0,59.71,1
0.017608,0.017569,253,536,-40.0,63.35,1
0.017607,0.017573,455,514,-31.0,63.08,1
0.017632,0.017582,282,502,-30.0,67.01,1
0.017627,0.017586,400,510,-23.0,65.47,1
0.017643,0.017592,207,490,-20.0,68.00,1
0.017637,0.017596,268,469,-17.0,66.05,1
0.017625,0.017603,272,453,-20.0,65.62,1
0.017644,0.017608,517,460,-11.0,67.45,1
0.017670,0.017614,479,475,-5.0,69.81,1
0.017694,0.017622,707,491,4.0,73.17,1
0.017707,0.017630,1160.0,536,19.0,74.81,1
0.017738,0.017640,1486.0,559,37.0,78.21,0
0.017728,0.017648,1137.0,592,44.0,74.70,1
0.017713,0.017655,2428.0,672,-17.0,69.65,1
0.017719,0.017661,2097.0,700,18.0,70.51,1
0.017682,0.017663,1356.0,741,-18.0,59.36,1
0.017634,0.017660,3878.0,927,-102.0,48.15,1
0.017613,0.017656,1564.0,993,-112.0,44.13,1
0.017609,0.017651,2021.0,1071,-128.0,43.39,1
0.017655,0.017652,654,1089,-89.0,53.15,1
0.017624,0.017649,591,1105,-80.0,47.24,1
0.017622,0.017646,525,1111,-71.0,46.88,1
0.017594,0.017641,569,1129,-62.0,42.02,1
0.017554,0.017633,519,1141,-55.0,36.24,1
0.017513,0.017622,1245.0,1188,-61.0,31.47,1
0.017540,0.017614,405,1195,-34.0,37.32,1
0.017543,0.017607,767,1207,-6.0,37.96,1
0.017558,0.017602,366,1201,8.0,41.17,1
0.017543,0.017597,749,1204,27.0,39.00,1
0.017552,0.017593,339,1163,34.0,41.01,1
0.017579,0.017591,558,1116,43.0,46.68,1
0.017600,0.017592,415,1080,46.0,50.66,1
0.017633,0.017596,471,982,50.0,56.19,1
0.017584,0.017595,398,897,36.0,47.65,1
0.017608,0.017596,165,838,29.0,51.53,1
0.017587,0.017595,291,824,21.0,48.17,1
0.017588,0.017595,371,649,13.0,48.34,1
0.017597,0.017596,480,516,30.0,49.87,1
0.017613,0.017597,506,509,35.0,52.78,1
0.017621,0.017600,225,491,34.0,54.21,1
0.017606,0.017600,463,488,20.0,51.08,1
0.017598,0.017600,370,478,10.0,49.45,1
0.017589,0.017598,286,458,-11.0,47.59,1
0.017599,0.017598,306,453,-1.0,49.99,1
0.017635,0.017602,967,463,19.0,57.55,1
0.017637,0.017605,489,469,25.0,57.93,1
0.017640,0.017608,214,442,25.0,58.53,1
0.017652,0.017612,340,442,28.0,60.93,1
0.017660,0.017617,416,435,30.0,62.49,1
0.017655,0.017621,296,429,19.0,60.85,1
0.017635,0.017622,241,418,10.0,54.69,1
0.017641,0.017624,335,415,2.0,56.13,1
0.017661,0.017627,540,433,12.0,60.61,1
0.017634,0.017628,430,440,1.0,52.77,1
0.017615,0.017627,438,444,-7.0,48.06,1
0.017592,0.017623,571,450,-16.0,43.06,1
0.017606,0.017622,640,458,0.0,46.70,1
0.017620,0.017622,810,473,14.0,50.13,1
0.017596,0.017619,226,473,7.0,44.80,1
0.017603,0.017618,340,467,-1.0,46.59,1
0.017605,0.017616,235,460,-5.0,47.11,1
0.017609,0.017615,226,420,-2.0,48.29,1
0.017600,0.017613,551,433,8.0,45.81,1
0.017601,0.017612,198,394,3.0,46.14,1
0.017586,0.017610,637,401,-10.0,42.00,0
0.017568,0.017606,957,439,-24.0,37.64,0
0.017586,0.017601,363,425,-9.0,44.35,1
0.017577,0.017598,268,423,-11.0,41.92,1
0.017500,0.017582,632,614,-45.0,27.75,1
0.017503,0.017574,1197.0,647,-54.0,28.83,1
0.017500,0.017567,348,643,-32.0,28.37,1
0.017494,0.017560,314,636,-27.0,27.44,2
0.017516,0.017556,357,626,-9.0,35.77,2
0.017524,0.017553,802,634,13.0,38.53,1
0.017521,0.017547,1134.0,650,41.0,37.87,1
0.017515,0.017544,216,644,32.0,36.43,1
