price,ema20,vol,vol_ema,sar,rsi
0.019833,0.019775,354,302,7.700000000000068e-05,66.80
0.019826,0.019780,270,300,5.9000000000000025e-05,64.32
0.019817,0.019783,179,303,4.000000000000184e-05,61.18
0.019812,0.019786,190,297,2.6999999999999247e-05,59.44
0.019813,0.019788,127,294,2.1000000000000185e-05,59.69
0.019825,0.019792,440,266,2.6999999999999247e-05,62.62
0.019841,0.019797,1405.0,309,3.099999999999978e-05,66.16
0.019865,0.019803,848,340,4.300000000000137e-05,70.65
0.019840,0.019807,292,342,8.999999999998592e-06,61.50
0.019810,0.019807,229,343,-7.199999999999915e-05,52.68
0.019824,0.019809,252,345,-5.4999999999999494e-05,55.86
0.019834,0.019811,231,348,-4.200000000000037e-05,58.03
0.019792,0.019809,275,330,-7.799999999999821e-05,47.47
0.019803,0.019809,271,335,-6.300000000000056e-05,50.04
0.019809,0.019809,257,339,-5.199999999999996e-05,51.43
0.019805,0.019808,186,334,-5.199999999999996e-05,50.42
0.019766,0.019804,270,337,-8.299999999999974e-05,41.81
0.019809,0.019805,378,340,-3.099999999999978e-05,51.62
0.019837,0.019808,890,379,0.0,56.74
0.019806,0.019808,370,386,4.900000000000043e-05,50.38
0.019827,0.019809,129,374,6.800000000000209e-05,54.13
0.019862,0.019814,719,397,9.900000000000186e-05,59.61
0.019851,0.019818,340,405,8.400000000000074e-05,57.29
0.019868,0.019823,362,414,9.599999999999886e-05,59.88
0.019838,0.019824,641,439,6.200000000000302e-05,53.69
0.019829,0.019825,312,433,4.999999999999796e-05,51.95
0.019830,0.019825,243,375,4.70000000000019e-05,52.14
0.019809,0.019824,433,354,2.2000000000001185e-05,47.96
0.019934,0.019834,3283.0,503,0.00013799999999999923,65.63
0.019914,0.019842,480,516,0.00010699999999999946,62.00
0.019918,0.019849,415,524,0.00010000000000000286,62.45
0.019942,0.019864,347,550,9.900000000000186e-05,65.29
0.019937,0.019871,319,552,8.299999999999974e-05,64.20
0.019929,0.019876,343,556,6.600000000000009e-05,62.40
0.019921,0.019881,338,564,4.900000000000043e-05,60.58
0.019926,0.019885,427,572,4.60000000000009e-05,61.34
0.019923,0.019889,349,570,3.699999999999884e-05,60.58
0.019904,0.019890,295,541,1.1000000000000593e-05,55.89
0.019925,0.019893,365,540,2.6999999999999247e-05,59.61
0.019942,0.019898,643,566,3.900000000000084e-05,62.38
0.019899,0.019898,223,541,-5.000000000000143e-05,52.57
0.019892,0.019897,380,543,-5.4999999999999494e-05,51.16
0.019883,0.019896,191,535,-5.9000000000000025e-05,49.32
0.019875,0.019894,572,531,-6.0999999999998555e-05,47.69
0.019863,0.019891,468,539,-6.500000000000256e-05,45.26
0.019877,0.019890,624,558,-4.400000000000237e-05,48.55
0.019883,0.019889,374,555,-2.9999999999998778e-05,49.94
0.019903,0.019890,285,405,-2.999999999999531e-06,54.36
0.019891,0.019891,265,394,3.599999999999784e-05,51.42
0.019904,0.019892,226,385,4.70000000000019e-05,54.30
0.019889,0.019892,238,364,2.9000000000001247e-05,50.58
0.019906,0.019893,378,365,4.39999999999989e-05,54.39
0.019925,0.019896,610,380,5.8999999999996555e-05,58.27
0.019967,0.019903,758,400,9.199999999999833e-05,65.30
0.019975,0.019910,714,419,8.89999999999988e-05,66.45
0.019985,0.019917,1860.0,491,8.299999999999974e-05,67.90
0.019983,0.019923,634,505,6.400000000000156e-05,67.27
0.019969,0.019927,669,524,3.600000000000131e-05,62.92
0.019965,0.019935,644,537,8.999999999998592e-06,61.60
0.019960,0.019937,616,557,-6.200000000000302e-05,59.91
0.019966,0.019940,309,553,-5.2999999999997494e-05,61.28
0.019980,0.019944,384,563,-3.599999999999784e-05,64.35
0.020005,0.019949,469,558,5.6999999999998024e-05,69.07
0.020017,0.019956,821,575,6.600000000000009e-05,71.05
0.019977,0.019958,550,572,2.3000000000002185e-05,57.77
0.019965,0.019959,452,575,9.999999999999593e-06,54.48
0.019980,0.019961,660,594,2.2000000000001185e-05,57.72
0.019989,0.019963,274,595,2.9000000000001247e-05,59.58
0.019962,0.019963,431,605,-5.7999999999999025e-05,52.17
0.019967,0.019964,263,606,-5.199999999999996e-05,53.33
0.019991,0.019966,219,598,-2.7000000000002716e-05,58.52
0.019995,0.019969,471,591,-2.1000000000000185e-05,59.33
0.019994,0.019971,276,567,-2.1000000000000185e-05,59.02
0.019992,0.019973,205,542,-2.2000000000001185e-05,58.36
0.020006,0.019976,387,468,-7.000000000000062e-06,61.59
0.019999,0.019979,416,457,-1.2999999999999123e-05,59.12
0.020007,0.019981,702,459,-4.000000000000531e-06,61.05
0.019999,0.019983,201,437,-1.1000000000000593e-05,58.10
0.019989,0.019984,361,423,-1.9999999999999185e-05,54.56
0.019983,0.019983,219,404,-2.5000000000000716e-05,52.49
0.019987,0.019984,329,405,-1.9999999999999185e-05,53.75
0.020008,0.019986,379,404,4.900000000000043e-05,59.77
0.020029,0.019990,444,403,6.700000000000109e-05,64.72
0.020030,0.019994,267,375,6.499999999999909e-05,64.94
0.020024,0.019997,329,364,5.6000000000000494e-05,62.42
0.020027,0.020000,236,353,5.6999999999998024e-05,63.19
0.020033,0.020003,337,337,5.9000000000000025e-05,64.75
0.020067,0.020009,542,351,8.400000000000074e-05,71.99
0.020049,0.020013,524,355,5.8000000000002494e-05,64.44
0.020079,0.020019,908,388,7.700000000000068e-05,70.07
0.020078,0.020025,338,393,6.600000000000009e-05,69.68
0.020112,0.020033,1045.0,422,8.800000000000127e-05,74.88
