price,ema20,ema25,ema30,ema35,ema40,ema45,ema50,vol,vol_ema,predict
0.017598,0.017565,0.017566,0.017568,0.017570,0.017572,0.017573,0.017574,374,631,0.017623000000000003
0.017611,0.017569,0.017569,0.017570,0.017572,0.017574,0.017575,0.017576,177,634,0.017620499999999997
0.017635,0.017575,0.017574,0.017575,0.017576,0.017577,0.017577,0.017578,732,652,0.017617
0.017653,0.017583,0.017580,0.017580,0.017580,0.017580,0.017581,0.017581,356,657,0.0176102
0.017625,0.017587,0.017584,0.017583,0.017582,0.017583,0.017583,0.017583,490,494,0.017604699999999997
0.017629,0.017591,0.017587,0.017586,0.017585,0.017585,0.017585,0.017584,270,476,0.017599700000000003
0.017626,0.017594,0.017590,0.017588,0.017587,0.017587,0.017586,0.017586,192,425,0.017594000000000002
0.017639,0.017598,0.017594,0.017591,0.017590,0.017589,0.017589,0.017588,311,423,0.017585100000000003
0.017619,0.017600,0.017596,0.017593,0.017592,0.017591,0.017590,0.017589,942,455,0.017578300000000005
0.017602,0.017600,0.017596,0.017594,0.017592,0.017591,0.017591,0.017590,911,482,0.0175684
0.017591,0.017600,0.017596,0.017594,0.017592,0.017591,0.017591,0.017590,355,460,0.017560799999999998
0.017586,0.017598,0.017595,0.017593,0.017592,0.017591,0.017590,0.017590,296,464,0.017552699999999997
0.017600,0.017598,0.017596,0.017594,0.017592,0.017592,0.017591,0.017590,358,425,0.0175443
0.017585,0.017597,0.017595,0.017593,0.017592,0.017591,0.017591,0.017590,605,444,0.01754
0.017570,0.017595,0.017593,0.017592,0.017591,0.017590,0.017590,0.017589,297,446,0.0175375
0.017579,0.017593,0.017592,0.017591,0.017590,0.017590,0.017589,0.017589,194,439,0.017534400000000002
0.017569,0.017591,0.017590,0.017589,0.017589,0.017589,0.017588,0.017588,326,426,0.017533100000000003
0.017550,0.017587,0.017587,0.017587,0.017587,0.017587,0.017587,0.017586,1647.0,485,0.0175336
0.017551,0.017583,0.017584,0.017584,0.017585,0.017585,0.017585,0.017585,218,484,0.0175349
0.017503,0.017573,0.017576,0.017577,0.017578,0.017579,0.017580,0.017581,731,501,0.0175387
0.017515,0.017567,0.017571,0.017573,0.017575,0.017576,0.017577,0.017578,543,520,0.0175416
0.017505,0.017562,0.017566,0.017569,0.017571,0.017573,0.017574,0.017575,491,508,0.0175456
0.017516,0.017557,0.017562,0.017565,0.017568,0.017570,0.017572,0.017573,343,507,0.0175492
0.017542,0.017556,0.017560,0.017564,0.017567,0.017569,0.017570,0.017572,634,514,0.0175509
0.017545,0.017555,0.017559,0.017563,0.017565,0.017567,0.017569,0.017571,309,516,0.017554300000000002
0.017548,0.017554,0.017558,0.017562,0.017564,0.017567,0.017568,0.017570,273,520,0.017557000000000003
0.017556,0.017554,0.017558,0.017561,0.017564,0.017566,0.017568,0.017569,243,517,0.017556900000000004
0.017555,0.017554,0.017558,0.017561,0.017563,0.017565,0.017567,0.017569,515,495,0.0175568
0.017564,0.017555,0.017558,0.017561,0.017563,0.017565,0.017567,0.017568,289,464,0.017555200000000003
0.017541,0.017554,0.017557,0.017560,0.017562,0.017564,0.017566,0.017567,563,475,0.017554900000000002
0.017544,0.017553,0.017556,0.017559,0.017561,0.017563,0.017565,0.017566,225,471,0.017554900000000002
0.017545,0.017552,0.017555,0.017558,0.017560,0.017562,0.017564,0.017566,749,491,0.0175547
0.017552,0.017552,0.017555,0.017558,0.017560,0.017562,0.017564,0.017565,303,476,0.017553
0.017559,0.017553,0.017555,0.017558,0.017560,0.017562,0.017563,0.017565,330,477,0.0175514
