close_price,open_price,ema20,vol,vol_ema,sar,klinger
0.027705,0.027772,0.027675,1044.0,1134.0,-0.00018,-35.0
0.027659,0.027705,0.027673,1333.0,1179.0,-0.00022,-60.0
0.027714,0.027652,0.027677,1620.0,1244.0,-0.00016,-24.0
0.027706,0.027714,0.027680,1234.0,1287.0,-0.00015,-2.0
0.027709,0.027710,0.027683,548,1293.0,-0.00013,-18.0
0.027740,0.027711,0.027688,1012.9999999999999,1298.0,-8e-05,-2.0
0.027712,0.027743,0.027690,1004.9999999999999,1285.0,-0.0001,-27.0
0.027700,0.027709,0.027691,463,1264.0,-0.0001,-35.0
0.027589,0.027697,0.027682,1469.0,1168.0,-0.0002,-60.0
0.027603,0.027588,0.027674,1864.0,1076.0,-0.00017,-86.0
0.027698,0.027602,0.027676,1274.0,1094.0,-5e-05,-46.0
0.027713,0.027700,0.027680,1342.0,1109.0,0.00019,-14.0
0.027691,0.027713,0.027681,2250.0,1139.0,0.00016,-55.0
0.027709,0.027687,0.027684,804,1132.0,0.00018,-29.0
0.027723,0.027710,0.027687,641,1113.0,0.00019,-12.0
0.027745,0.027724,0.027693,956,1092.0,0.0002,8.0
0.027763,0.027745,0.027700,482,1077.0,0.00021,14.0
0.027761,0.027762,0.027705,1734.0,1137.0,0.0002,42.0
0.027700,0.027764,0.027705,989,1154.0,0.00012,14.0
0.027651,0.027697,0.027700,546,1131.0,6e-05,-1.0
0.027666,0.027647,0.027697,721,1114.0,6e-05,-15.0
0.027594,0.027674,0.027687,1020.0,1099.0,-0.00022,-31.0
0.027556,0.027597,0.027674,648,1050.0,-0.00025,-37.0
0.027562,0.027555,0.027664,1060.0,1042.0,-0.00023,-48.0
0.027537,0.027564,0.027652,702,1049.0,-0.00024,-49.0
0.027600,0.027538,0.027647,1078.0,1052.0,-0.00016,-17.0
0.027635,0.027599,0.027646,1664.0,1085.0,-0.00011,20.0
0.027688,0.027635,0.027650,1803.0,1152.0,0.00017,50.0
0.027674,0.027690,0.027652,1172.0,1138.0,0.00015,19.0
0.027638,0.027676,0.027651,711,1080.0,0.00011,3.0
0.027669,0.027647,0.027652,841,1058.0,0.00014,19.0
0.027641,0.027665,0.027651,991,1041.0,0.0001,-2.0
0.027664,0.027641,0.027652,943,975,0.00012,17.0
0.027615,0.027664,0.027649,1077.0,989,7e-05,-5.0
0.027598,0.027615,0.027644,657,990,5e-05,-15.0
0.027540,0.027597,0.027634,720,978,-0.00023,-23.0
0.027472,0.027538,0.027619,1661.0,1037.0,-0.00029,-46.0
0.027493,0.027477,0.027607,605,980,-0.00026,-22.0
0.027545,0.027493,0.027601,988,980,-0.00019,4.0
0.027496,0.027541,0.027591,675,987,-0.00023,-6.0
0.027474,0.027496,0.027580,642,983,-0.00024,-13.0
0.027454,0.027474,0.027568,1945.0,1029.0,-0.00025,-42.0
0.027458,0.027458,0.027557,731,1033.0,-0.00023,-15.0
0.027467,0.027462,0.027549,1642.0,1062.0,-0.0002,-37.0
0.027471,0.027469,0.027541,806,1068.0,-0.00018,-8.0
0.027463,0.027470,0.027534,743,1051.0,-0.00017,14.0
0.027460,0.027463,0.027527,1530.0,1044.0,-0.00015,-12.0
0.027468,0.027457,0.027521,766,992,-0.00013,-17.0
0.027436,0.027473,0.027513,491,958,-0.00014,-15.0
0.027430,0.027431,0.027505,869,966,-0.00013,-21.0
0.027395,0.027428,0.027495,948,971,-0.00016,-26.0
0.027341,0.027393,0.027480,1632.0,1002.9999999999999,-0.00019,-42.0
0.027325,0.027340,0.027465,1273.0,1020.0,-0.00019,-47.0
0.027266,0.027324,0.027446,980,1014.9999999999999,-0.00021,-45.0
0.027275,0.027265,0.027430,903,1027.0,-0.00017,-41.0
0.027300,0.027286,0.027418,863,1035.0,-0.00011,-4.0
0.027332,0.027310,0.027409,803,992,-5e-05,23.0
0.027303,0.027331,0.027399,430,983,-6e-05,22.0
0.027368,0.027303,0.027396,1228.0,995.0,0.00012,52.0
0.027354,0.027369,0.027392,1012.0,1012.0,0.0001,70.0
0.027433,0.027355,0.027396,1729.0,1066.0,0.00018,96.0
0.027359,0.027429,0.027393,748,1006.0,9e-05,70.0
0.027374,0.027363,0.027391,597,1000.0,9e-05,52.0
0.027411,0.027374,0.027393,949,965,0.00011,66.0
0.027421,0.027415,0.027395,762,963,0.00011,72.0
0.027430,0.027421,0.027399,511,951,0.00011,52.0
0.027463,0.027433,0.027405,936,921,0.00013,63.0
0.027451,0.027460,0.027409,807,924,0.00011,67.0
0.027391,0.027445,0.027411,3296.0,1052.0,-0.00011,-24.0
0.027415,0.027390,0.027411,1327.0,1071.0,-8e-05,9.0
0.027437,0.027409,0.027414,1051.0,1042.0,-6e-05,29.0
0.027396,0.027438,0.027412,1163.0,1036.0,-0.0001,3.0
0.027415,0.027391,0.027412,1882.0,1081.0,-7e-05,-30.0
0.027383,0.027411,0.027410,950,1084.0,-0.0001,-38.0
0.027385,0.027384,0.027407,1409.0,1111.0,-0.0001,-52.0
0.027418,0.027391,0.027408,557,1099.0,-6e-05,-27.0
0.027476,0.027417,0.027415,563,1105.0,-0.0,-6.0
0.027417,0.027476,0.027415,433,1066.0,7e-05,-7.0
0.027390,0.027417,0.027413,1399.0,1085.0,4e-05,-27.0
0.027420,0.027390,0.027413,1663.0,1082.0,6e-05,16.0
0.027404,0.027418,0.027412,962,1092.0,-7e-05,0.0
0.027314,0.027405,0.027403,1141.0,1120.0,-0.00016,-17.0
0.027251,0.027314,0.027389,1158.0,1130.0,-0.00022,-29.0
0.027166,0.027247,0.027367,2158.0,1200.0,-0.00029,-56.0
0.027213,0.027164,0.027353,2921.0,1320.0,-0.00021,18.0
0.027219,0.027217,0.027340,908,1319.0,-0.00018,3.0
0.027276,0.027219,0.027334,865,1322.0,-0.0001,26.0
0.027269,0.027278,0.027328,881,1334.0,-9e-05,43.0
0.027334,0.027268,0.027328,1233.0,1231.0,0.00023,61.0
0.027350,0.027335,0.027330,1237.0,1227.0,0.00024,76.0
0.027292,0.027352,0.027327,939,1221.0,0.00017,46.0
0.027301,0.027292,0.027324,1732.0,1250.0,0.00017,7.0
0.027201,0.027300,0.027313,1180.0,1214.0,6e-05,-13.0
0.027219,0.027202,0.027304,1207.0,1227.0,7e-05,-29.0
0.027205,0.027215,0.027294,1345.0,1224.0,4e-05,-43.0
0.027244,0.027206,0.027289,1543.0,1273.0,8e-05,-1.0
0.027296,0.027243,0.027290,994,1295.0,0.00012,22.0
0.027337,0.027297,0.027295,907,1319.0,0.00015,38.0
0.027329,0.027337,0.027298,599,1279.0,0.00013,45.0
0.027303,0.027328,0.027298,494,1220.0,9e-05,29.0
0.027266,0.027302,0.027295,1482.0,1246.0,-0.00013,-2.0
0.027366,0.027267,0.027302,1349.0,1257.0,-3e-05,26.0
0.027380,0.027373,0.027309,586,1228.0,0.00017,33.0
0.027417,0.027380,0.027320,943,1167.0,0.0002,45.0
0.027465,0.027417,0.027333,976,1070.0,0.00024,54.0
0.027447,0.027461,0.027344,805,1065.0,0.00021,57.0
0.027453,0.027444,0.027355,696,1056.0,0.00019,57.0
0.027424,0.027454,0.027361,675,1046.0,0.00014,30.0
0.027483,0.027420,0.027373,935,1031.0,0.00019,39.0
0.027501,0.027485,0.027385,850,1012.0,0.00018,42.0
0.027452,0.027496,0.027391,552,992,0.00012,20.0
0.027455,0.027452,0.027397,691,940,0.0001,-2.0
0.027451,0.027456,0.027403,795,921,7e-05,-19.0
0.027457,0.027448,0.027408,777,900,6e-05,-5.0
0.027527,0.027461,0.027419,703,868,0.00012,6.0
0.027569,0.027533,0.027433,883,835,0.00015,16.0
0.027528,0.027570,0.027442,1127.0,841,8e-05,-13.0
0.027496,0.027528,0.027448,909,841,-9e-05,-31.0
0.027479,0.027496,0.027451,991,861,-0.0001,-46.0
0.027442,0.027479,0.027450,805,877,-0.00013,-54.0
0.027354,0.027442,0.027441,874,846,-0.00021,-61.0
0.027386,0.027352,0.027435,501,804,-0.00016,-40.0
0.027353,0.027386,0.027428,472,798,-0.00018,-41.0
0.027417,0.027353,0.027427,792,790,-9e-05,-18.0
0.027447,0.027417,0.027428,453,764,-4e-05,-7.0
0.027307,0.027446,0.027417,750,762,-0.00017,-20.0
0.027301,0.027307,0.027406,1381.0,796,-0.00015,-41.0
0.027317,0.027301,0.027397,854,805,-0.00013,-15.0
0.027336,0.027319,0.027392,687,792,-8e-05,0.0
0.027316,0.027335,0.027384,1303.0,815,5e-05,25.0
0.027272,0.027313,0.027374,435,809,-0.00013,12.0
0.027060,0.027270,0.027344,3312.0,940,-0.00035,-51.0
0.027087,0.027069,0.027319,1424.0,972,-0.0003,-65.0
0.027191,0.027079,0.027307,2358.0,1051.0,-0.00019,-6.0
0.027262,0.027193,0.027303,1320.0,1082.0,-9e-05,21.0
0.027150,0.027262,0.027288,1020.0,1089.0,-0.00018,-1.0
0.027204,0.027150,0.027280,1151.0,1090.0,-0.0001,-20.0
0.027358,0.027203,0.027288,1784.0,1133.0,0.0004,19.0
0.027340,0.027359,0.027293,1489.0,1158.0,0.00038,44.0
0.027330,0.027341,0.027296,1288.0,1183.0,0.00035,11.0
0.027404,0.027346,0.027306,772,1177.0,0.0004,23.0
0.027389,0.027405,0.027314,814,1193.0,0.00037,34.0
0.027350,0.027382,0.027318,611,1200.0,0.0003,15.0
0.027281,0.027349,0.027314,823,1202.0,0.00021,-3.0
0.027325,0.027284,0.027315,519,1205.0,0.00023,-13.0
0.027254,0.027324,0.027309,448,1190.0,0.00013,-18.0
0.027324,0.027254,0.027311,686,1155.0,0.00018,-2.0
0.027387,0.027332,0.027318,950,1160.0,0.00022,17.0
0.027321,0.027389,0.027318,362,1143.0,0.00015,6.0
0.027331,0.027322,0.027320,558,1106.0,0.00014,-5.0
0.027420,0.027335,0.027329,916,1130.0,0.00021,13.0
0.027397,0.027418,0.027336,548,992,0.00017,19.0
0.027610,0.027398,0.027362,2178.0,1030.0,0.00037,54.0
0.027691,0.027609,0.027393,2225.0,1022.9999999999999,0.00042,82.0
0.027618,0.027690,0.027414,2868.0,1100.0,0.0003,114.0
0.027766,0.027617,0.027448,2396.0,1169.0,0.00039,128.0
0.027837,0.027767,0.027485,1877.0,1206.0,0.00042,127.0
0.027765,0.027839,0.027512,2859.0,1259.0,0.00028,143.0
0.027745,0.027768,0.027534,2873.0,1328.0,0.0002,47.0
0.027791,0.027742,0.027558,1463.0,1337.0,0.00019,52.0
0.027761,0.027785,0.027578,1933.0,1395.0,0.00011,63.0
0.027796,0.027762,0.027598,977,1403.0,0.0001,17.0
0.027847,0.027795,0.027622,1416.0,1444.0,0.00012,24.0
