price,supertrendSell,supertrendBuy,rsi,ema
0.061917,0.06,n/a,95.25,0.061953
0.061925,0.06,n/a,91.71,0.061953
0.061800,0.06,n/a,69.46,0.061951
0.061824,0.06,n/a,55.94,0.061950
0.061870,0.06,n/a,48.73,0.061949
0.061764,0.06,n/a,37.65,0.061947
0.061750,0.06,n/a,22.58,0.061945
0.061986,0.06,n/a,33.33,0.061946
0.062145,n/a,0.06,66.67,0.061948
0.062135,n/a,0.06,98.98,0.061950
0.062126,n/a,0.06,96.98,0.061951
0.062234,n/a,0.06,96.98,0.061954
0.062172,n/a,0.06,92.04,0.061956
0.062247,n/a,0.06,92.23,0.061959
0.062322,n/a,0.06,92.23,0.061963
0.062401,n/a,0.06,98.20,0.061967
0.062418,n/a,0.06,100.00,0.061972
0.062380,n/a,0.06,96.51,0.061976
0.062419,n/a,0.06,94.71,0.061980
0.062462,n/a,0.06,94.71,0.061985
0.062646,n/a,0.06,98.20,0.061991
0.062608,n/a,0.06,92.94,0.061998
0.062657,n/a,0.06,89.17,0.062004
0.062758,n/a,0.06,89.17,0.062012
0.062785,n/a,0.06,96.23,0.062019
0.062713,n/a,0.06,87.51,0.062026
0.062664,n/a,0.06,62.41,0.062033
0.062797,n/a,0.06,44.70,0.062040
0.062845,n/a,0.06,43.67,0.062048
0.062784,n/a,0.06,42.92,0.062063
0.062668,n/a,0.06,23.11,0.062069
0.062779,n/a,0.06,11.78,0.062076
0.062872,n/a,0.06,23.13,0.062084
0.062966,n/a,0.06,43.30,0.062093
0.062897,n/a,0.06,46.00,0.062101
0.062773,n/a,0.06,31.35,0.062108
0.062654,n/a,0.06,11.18,0.062113
0.062804,n/a,0.06,9.38,0.062120
0.062977,n/a,0.06,27.56,0.062129
0.062917,n/a,0.06,40.95,0.062136
0.062775,n/a,0.06,34.62,0.062143
0.062759,n/a,0.06,18.39,0.062149
0.062712,n/a,0.06,5.00,0.062155
0.062695,n/a,0.06,1.95,0.062160
0.062731,n/a,0.06,2.74,0.062166
0.062680,n/a,0.06,2.74,0.062171
0.062655,n/a,0.06,2.74,0.062176
0.062696,n/a,0.06,4.14,0.062181
0.062863,n/a,0.06,25.56,0.062188
0.062680,n/a,0.06,27.33,0.062192
0.062644,n/a,0.06,23.19,0.062197
0.062638,n/a,0.06,1.77,0.062201
0.062768,n/a,0.06,15.37,0.062207
0.062963,n/a,0.06,48.71,0.062214
0.063027,n/a,0.06,82.04,0.062223
0.063018,n/a,0.06,98.92,0.062230
0.062981,n/a,0.06,93.29,0.062238
0.062941,n/a,0.06,82.71,0.062245
0.063119,n/a,0.06,83.79,0.062254
0.063110,n/a,0.06,88.38,0.062262
0.063071,n/a,0.06,93.23,0.062270
0.063083,n/a,0.06,88.42,0.062278
0.062953,n/a,0.06,69.53,0.062285
0.062989,n/a,0.06,58.52,0.062292
0.063035,n/a,0.06,50.63,0.062299
0.063182,n/a,0.06,68.50,0.062308
0.063194,n/a,0.06,84.44,0.062317
0.063074,n/a,0.06,72.21,0.062325
0.063137,n/a,0.06,57.91,0.062333
0.063341,n/a,0.06,58.70,0.062343
